title,price,rating,image,product_link,description,product_info_json,search_query
Samsung,"65,500.00 EGP",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61uvatjvVYL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Storage-Titanium-Smartphone-Warranty/dp/B0DSLTQQL3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-1,,{},samsung s 25 ultra
Samsung,"63,699.00 EGP",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61NUR7kNpZL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Storage-Titanium-Smartphone-Warranty/dp/B0DSLS4MN7/ref=sr_1_2?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-2,,{},samsung s 25 ultra
Samsung,"64,999.00 EGP",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61TMssuJ-nL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Titanium-Whitesilver-Smartphone-Warranty/dp/B0DSQ3KYKB/ref=sr_1_3?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-3,,{},samsung s 25 ultra
Samsung,"77,999.00 EGP",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61NUR7kNpZL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Storage-Titanium-Smartphone-Warranty/dp/B0DSLVQS5R/ref=sr_1_4?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-4,,{},samsung s 25 ultra
Samsung,"29,799.00 EGP",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61O2g9s1cIL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Smartphone-Android-6-7-inch-Warranty/dp/B0FPM1RTFS/ref=sr_1_5?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-5,,{},samsung s 25 ultra
Samsung,"84,692.99 EGP",3.1 out of 5 stars,https://m.media-amazon.com/images/I/61TMssuJ-nL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Titanium-Whitesilver-Smartphone-Warranty/dp/B0DSLVT8S9/ref=sr_1_6?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-6,,{},samsung s 25 ultra
Samsung,"84,692.99 EGP",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61uvatjvVYL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Storage-Titanium-Smartphone-Warranty/dp/B0DSLT3CVB/ref=sr_1_7?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-7,,{},samsung s 25 ultra
Samsung,"22,850.00 EGP",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61ERH+yIyiL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Android-Smartphone-Storage-Warranty/dp/B0CX95PRMC/ref=sr_1_8?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-8,,{},samsung s 25 ultra
Samsung,,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71a3QoZJqPL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Android-Smartphone-Storage-Warranty/dp/B0DNMMMJ1V/ref=sr_1_9?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-9,,{},samsung s 25 ultra
Samsung,"2,399.00 EGP",4.2 out of 5 stars,https://m.media-amazon.com/images/I/513awQxPNXL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Ergonomic-Command-Navigation-EJ-PS938BSEGUJ/dp/B0DQFLQHHR/ref=sr_1_10?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-10,,{},samsung s 25 ultra
Samsung,"2,399.00 EGP",4.8 out of 5 stars,https://m.media-amazon.com/images/I/51n1cCdfeLL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Ergonomic-Command-Navigation-EJ-PS938BJEGUJ/dp/B0DQFHC4PD/ref=sr_1_11?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-11,,{},samsung s 25 ultra
Samsung,"19,800.00 EGP",3.6 out of 5 stars,https://m.media-amazon.com/images/I/61zVS+3cWlL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Titanium-Smartwatch-Al-Powered-Monitoring/dp/B0FG8GDJ9V/ref=sr_1_12?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-12,,{},samsung s 25 ultra
Samsung,"12,222.00 EGP",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71+d4rChCCL._AC_UL320_.jpg,https://www.amazon.eg/-/en/Samsung-Android-Smartphone-Storage-Warranty/dp/B0DNMMSRT2/ref=sr_1_13?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-13,,{},samsung s 25 ultra
ESR,850.00 EGP,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61SpcVg7CxL._AC_UL320_.jpg,https://www.amazon.eg/-/en/ESR-Samsung-Galaxy-S25-Ultra/dp/B0DMSMHY6Y/ref=sr_1_14?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-14,,{},samsung s 25 ultra
Nillkin,490.00 EGP,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71y8valpBhL._AC_UL320_.jpg,https://www.amazon.eg/-/en/NILLKIN-Galaxy-Protection-Protective-Samsung/dp/B0DNJSCTCS/ref=sr_1_15?dib=eyJ2IjoiMSJ9.x6EDnMrdJZG9Zig2p8bW79Yb6fHh90U93uDxLKiG0iBIa75KgO55HvpQ6DVkAhvl-lp42i64i0g4jVQIiC_kO7jyr-WWySWQHTEwyoYV_CJtkGH1ZrOwXgW2xTO-FZlhfQ0TnRXZs7R-wgepbFSHsgLGXLsWmMdEvfoWe9THcEHclUHvxojsy_zS9V4_1Nuy6rp-ygNr5FMZrrEwJRROgOkPZSecGw8aowmbsQp6Fff45afrADXykRDrUVjoO4rHO7uD8yFCQRjsrcoAv6KKOFgrT2jqOIRq1U8UUoX2OeE.fG6Psl2dWIDZC-lAQPmm1t6UHFIdPW1GEK8IDkTvwfw&dib_tag=se&keywords=samsung+s+25+ultra&qid=1765022550&sr=8-15,,{},samsung s 25 ultra
